date,summary,sentiment,score,text,user
2025-04-13,このシステムのコードが完成に近づいてきてすごくうれしい,ポジティブ,0.3040758669376373,このシステムのコードが完成に近づいてきてすごくうれしい,test_user
2025-04-13,今日は雨で憂鬱,ニュートラル,0.2493668794631958,今日は雨で憂鬱,test_user
2025-04-17,リンツ初出勤でいっぱいチョコもらえてうれしかった,ポジティブ,0.3739778697490692,リンツ初出勤でいっぱいチョコもらえてうれしかった,hiroaki
2025-04-17,"veryveryvery glad
",ポジティブ,0.4121723473072052,"veryveryvery glad
",あああ
2025-04-17,"バイトでほめられてめっちゃうれしかった
",ポジティブ,0.3305778503417969,"バイトでほめられてめっちゃうれしかった
",あああああ
2025-04-17,ほんとにほんとにうれしすぎて楽しすぎる,ポジティブ,0.5398727059364319,ほんとにほんとにうれしすぎて楽しすぎる,あああああ
2025-04-17,楽しい1日だった,ポジティブ,0.5225186944007874,楽しい1日だった,あああああ
2025-04-18,今日たくさん褒められてすごくうれしかった,ポジティブ,0.4205299913883209,今日たくさん褒められてすごくうれしかった,あああああ
2025-04-18,"今日楽しいことがたくさんあった
",ポジティブ,0.4306237697601318,"今日楽しいことがたくさんあった
",あああああ
2025-04-18,今日は楽しそうなイベントに参加したら、すごく幸せな1日になった,ポジティブ,0.6463093757629395,今日は楽しそうなイベントに参加したら、すごく幸せな1日になった,あああああ
2025-04-18,めっちゃうれしかったし楽しかった,ポジティブ,0.4411956369876861,めっちゃうれしかったし楽しかった,いいい
2025-04-18,めっちゃ楽しい1日だった,ポジティブ,0.5784063935279846,めっちゃ楽しい1日だった,いいい
2025-04-24,朝起きるのがしんどかった,ニュートラル,0.3071767091751098,朝起きるのがしんどかった,あああああ
2025-04-24,暑くてつらかった,ニュートラル,0.262143611907959,暑くてつらかった,あああああ
2025-04-24,"悲しかった
",ネガティブ,0.5460136532783508,"悲しかった
",あああああ
